date, pm25, pm10, o3, no2
2025/11/1, 57, 12, 17, 10
2025/11/2, 33, 7, 17, 13
2025/11/3, 18, 16, 8, 17
2025/11/4, 33, 26, 4, 18
2025/11/5, 49, 28, 4, 16
2025/11/6, 57, 28, 1, 11
2025/11/7, 63, 20, 3, 13
2025/11/8, 59, 20, 5, 13
2025/11/9, 65, 20, 11, 12
2025/11/10, 52, 28, 9, 15
2025/11/11, 49, 30, 2, 16
2025/11/12, 56, 41, , 15
2025/11/13, 65, , , 
2025/10/1, 56, 21, 22, 11
2025/10/2, 47, 18, 19, 12
2025/10/3, 49, 17, 21, 7
2025/10/4, 43, 12, 18, 6
2025/10/5, 24, 11, 17, 10
2025/10/6, 26, 13, 13, 9
2025/10/7, 28, 18, 15, 11
2025/10/8, 39, 18, 12, 9
2025/10/9, 43, 21, 18, 10
2025/10/10, 52, 23, 24, 8
2025/10/11, 55, 17, 25, 7
2025/10/12, 50, 16, 18, 8
2025/10/13, 42, 19, 20, 10
2025/10/14, 38, 20, 15, 13
2025/10/15, 41, 19, 18, 10
2025/10/16, 40, 20, 14, 12
2025/10/17, 39, 19, 24, 8
2025/10/18, 40, 11, 12, 10
2025/10/19, 31, 27, 12, 17
2025/10/20, 56, 20, 15, 12
2025/10/21, 36, 12, 11, 12
2025/10/22, 23, 13, 24, 10
2025/10/23, 21, 9, 24, 8
2025/10/24, 15, 8, 18, 9
2025/10/25, 19, 6, 23, 6
2025/10/26, 17, 5, 21, 7
2025/10/27, 15, 10, 17, 10
2025/10/28, 21, 16, 15, 16
2025/10/29, 23, 25, 20, 13
2025/10/30, 34, 18, 5, 16
2025/10/31, 38, 24, 17, 14
2025/7/1, 50, 28, 47, 13
2025/7/2, 56, 26, 39, 6
2025/7/3, 54, 19, 46, 7
2025/7/4, 49, 16, 48, 11
2025/7/5, 37, 15, 38, 9
2025/7/6, 29, 11, 21, 6
2025/7/7, 20, 9, 29, 6
2025/7/8, 18, 12, 31, 7
2025/7/9, 24, 16, 41, 11
2025/7/10, 32, 18, 37, 8
2025/7/11, 37, 13, 36, 7
2025/7/12, 29, 13, 38, 9
2025/7/13, 34, 18, 26, 10
2025/7/14, 37, 23, 29, 8
2025/7/15, 44, 24, 24, 8
2025/7/16, 44, 18, 34, 7
2025/7/17, 29, 15, 46, 10
2025/7/18, 31, 17, 43, 11
2025/7/19, 40, 13, 39, 6
2025/7/20, 33, 11, 23, 8
2025/7/21, 27, 9, 23, 7
2025/7/22, 18, 9, 30, 7
2025/7/23, 19, 14, 31, 11
2025/7/24, 28, 13, 32, 10
2025/7/25, 29, 14, 30, 10
2025/7/26, 36, 13, 23, 7
2025/7/27, 39, 8, 22, 6
2025/7/28, 25, 11, 29, 7
2025/7/29, 32, 13, 24, 10
2025/7/30, 33, 14, 24, 9
2025/7/31, 32, 14, 18, 8
2025/8/1, 29, 11, 24, 6
2025/8/2, 26, 9, 23, 4
2025/8/3, 26, 13, 15, 9
2025/8/4, 31, 22, 25, 10
2025/8/5, 38, 17, 34, 6
2025/8/6, 30, 17, 45, 9
2025/8/7, 32, 21, 51, 10
2025/8/8, 40, 24, 57, 11
2025/8/9, 49, 23, 48, 5
2025/8/10, 54, 18, 47, 7
2025/8/11, 47, 31, 56, 11
2025/8/12, 62, 40, 49, 12
2025/8/13, 72, 40, 65, 11
2025/8/14, 67, 43, 70, 13
2025/8/15, 75, 37, 45, 4
2025/8/16, 70, 21, 36, 2
2025/8/17, 53, 14, 38, 3
2025/8/18, 34, 17, 48, 9
2025/8/19, 34, 23, 34, 12
2025/8/20, 45, 26, 32, 8
2025/8/21, 53, 21, 34, 5
2025/8/22, 43, 13, 33, 6
2025/8/23, 23, 12, 38, 5
2025/8/24, 27, 13, 46, 9
2025/8/25, 29, 25, 46, 15
2025/8/26, 38, 33, 28, 12
2025/8/27, 56, 24, 22, 12
2025/8/28, 52, 13, 26, 10
2025/8/29, 26, 9, 22, 6
2025/8/30, 19, 7, 23, 6
2025/8/31, 19, 9, 19, 11
2025/9/1, 18, 11, 23, 7
2025/9/2, 16, 12, 18, 10
2025/9/3, 20, 16, 20, 9
2025/9/4, 26, 12, 19, 10
2025/9/5, 22, 10, 31, 7
2025/9/6, 21, 9, 28, 9
2025/9/7, 26, 14, 15, 12
2025/9/8, 35, 21, 24, 10
2025/9/9, 51, 19, 16, 9
2025/9/10, 33, 16, 20, 9
2025/9/11, 28, 11, 19, 9
2025/9/12, 22, 11, 22, 10
2025/9/13, 28, 10, 21, 6
2025/9/14, 27, 8, 16, 6
2025/9/15, 17, 12, 21, 7
2025/9/16, 22, 12, 21, 10
2025/9/17, 22, 22, 27, 12
2025/9/18, 34, 27, 29, 17
2025/9/19, 46, 30, 27, 15
2025/9/20, 56, 22, 25, 9
2025/9/21, 50, 8, 21, 3
2025/9/22, 16, 16, 17, 5
2025/9/23, 22, 18, 15, 7
2025/9/24, 31, 11, 9, 9
2025/9/25, 23, 12, 7, 7
2025/9/26, 27, 16, 12, 7
2025/9/27, 44, 14, 17, 7
2025/9/28, 45, 21, 20, 9
2025/9/29, 53, 29, 21, 10
2025/9/30, 65, 23, 23, 8
2025/4/1, 33, 20, 39, 5
2025/4/2, 43, 24, 38, 8
2025/4/3, 54, 23, 40, 16
2025/4/4, 52, 22, 40, 13
2025/4/5, 50, 15, 37, 2
2025/4/6, 36, 10, 36, 6
2025/4/7, 19, 17, 36, 13
2025/4/8, 31, 21, 40, 15
2025/4/9, 40, 25, 32, 16
2025/4/10, 51, 32, 37, 15
2025/4/11, 67, 29, 40, 15
2025/4/12, 57, 28, 30, 15
2025/4/13, 53, 16, 36, 9
2025/4/14, 42, 19, 24, 14
2025/4/15, 47, 20, 27, 11
2025/4/16, 42, 16, 24, 7
2025/4/17, 34, 12, 26, 5
2025/4/18, 39, 11, 34, 8
2025/4/19, 37, 13, 35, 11
2025/4/20, 39, 9, 29, 9
2025/4/21, 23, 9, 25, 10
2025/4/22, 21, 14, 30, 12
2025/4/23, 31, 12, 23, 10
2025/4/24, 26, 11, 23, 8
2025/4/25, 25, 16, 27, 8
2025/4/26, 49, 16, 39, 10
2025/4/27, 47, 14, 47, 11
2025/4/28, 34, 20, 50, 13
2025/4/29, 43, 25, 56, 14
2025/4/30, 53, 23, 48, 11
2025/5/1, 55, 27, 50, 15
2025/5/2, 56, 33, 30, 11
2025/5/3, 58, 19, 29, 5
2025/5/4, 45, 14, 29, 4
2025/5/5, 33, 17, 36, 6
2025/5/6, 32, 19, 37, 9
2025/5/7, 31, 21, 36, 5
2025/5/8, 40, 19, 42, 4
2025/5/9, 46, 15, 46, 7
2025/5/10, 30, 14, 43, 9
2025/5/11, 34, 12, 40, 7
2025/5/12, 25, 17, 48, 10
2025/5/13, 33, 22, 55, 13
2025/5/14, 48, 23, 41, 8
2025/5/15, 48, 18, 38, 11
2025/5/16, 30, 15, 41, 7
2025/5/17, 30, 17, 41, 8
2025/5/18, 46, 17, 45, 7
2025/5/19, 42, 19, 45, 9
2025/5/20, 34, 18, 31, 12
2025/5/21, 35, 15, 33, 7
2025/5/22, 40, 16, 34, 9
2025/5/23, 38, 14, 38, 9
2025/5/24, 29, 12, 26, 8
2025/5/25, 32, 13, 32, 6
2025/5/26, 31, 15, 29, 11
2025/5/27, 30, 16, 25, 9
2025/5/28, 31, 12, 33, 7
2025/5/29, 28, 13, 34, 10
2025/5/30, 31, 16, 41, 10
2025/5/31, 40, 17, 33, 8
2025/6/1, 40, 16, 21, 11
2025/6/2, 40, 14, 26, 8
2025/6/3, 32, 15, 23, 11
2025/6/4, 38, 13, 23, 9
2025/6/5, 29, 12, 17, 8
2025/6/6, 25, 10, 18, 8
2025/6/7, 21, 9, 24, 5
2025/6/8, 28, 10, 35, 4
2025/6/9, 28, 18, 39, 10
2025/6/10, 55, 27, 45, 5
2025/6/11, 67, 23, 49, 8
2025/6/12, 55, 27, 55, 9
2025/6/13, 58, 30, 48, 11
2025/6/14, 61, 30, 38, 7
2025/6/15, 67, 13, 37, 6
2025/6/16, 39, 18, 41, 7
2025/6/17, 38, 23, 51, 10
2025/6/18, 47, 23, 62, 7
2025/6/19, 59, 16, 38, 3
2025/6/20, 44, 18, 49, 8
2025/6/21, 41, 19, 47, 10
2025/6/22, 51, 25, 31, 8
2025/6/23, 55, 23, 33, 8
2025/6/24, 37, 26, 41, 10
2025/6/25, 39, 28, 34, 11
2025/6/26, 46, 18, 20, 7
2025/6/27, 33, 12, 31, 6
2025/6/28, 28, 13, 38, 6
2025/6/29, 35, 14, 41, 7
2025/6/30, 35, 23, 34, 15
2025/1/1, 141, 29, 23, 11
2025/1/2, 65, 8, 19, 12
2025/1/3, 24, 13, 13, 15
2025/1/4, 35, 21, 17, 14
2025/1/5, 54, 13, 20, 13
2025/1/6, 38, 11, 18, 12
2025/1/7, 25, 8, 19, 16
2025/1/8, 20, 10, 22, 15
2025/1/9, 32, 10, 21, 16
2025/1/10, 20, 16, 15, 15
2025/1/11, 44, 16, 19, 10
2025/1/12, 53, 16, 17, 17
2025/1/13, 50, 27, 4, 24
2025/1/14, 65, 38, 1, 22
2025/1/15, 85, 28, 10, 15
2025/1/16, 74, 25, 14, 13
2025/1/17, 64, 29, 13, 10
2025/1/18, 71, 34, 4, 15
2025/1/19, 89, 35, , 16
2025/1/20, 94, 42, , 21
2025/1/21, 105, 42, , 22
2025/1/22, 108, 33, 15, 17
2025/1/23, 78, 38, 17, 20
2025/1/24, 48, 53, 6, 26
2025/1/25, 62, 42, 27, 14
2025/1/26, 58, 17, 24, 13
2025/1/27, 26, 14, 21, 14
2025/1/28, 22, 19, 22, 14
2025/1/29, 25, 29, 17, 20
2025/1/30, 49, 22, 23, 13
2025/1/31, 39, 21, 18, 17
2025/2/1, 53, 20, 16, 14
2025/2/2, 59, 23, 8, 15
2025/2/3, 67, 29, 6, 14
2025/2/4, 70, 37, 5, 19
2025/2/5, 82, 34, 18, 12
2025/2/6, 82, 22, 21, 10
2025/2/7, 59, 35, 10, 18
2025/2/8, 88, 47, 7, 19
2025/2/9, 118, 56, 5, 17
2025/2/10, 146, 57, 3, 17
2025/2/11, 143, 32, 4, 20
2025/2/12, 80, 17, 14, 14
2025/2/13, 50, 26, 15, 12
2025/2/14, 79, 37, 18, 9
2025/2/15, 99, 28, 20, 7
2025/2/16, 80, 22, 25, 10
2025/2/17, 65, 28, 24, 13
